index,score
328,2.719600819
329,3.212507357
330,2.455430277
331,2.597507348
332,2.671341509
333,2.730177393
334,2.821226029
335,2.417848837
336,2.526151866
337,3.302009993
338,2.374533012
339,2.786070931
340,2.773913343
341,1.572175504
342,2.608539981
343,1.430731412
344,2.476507494
345,2.521808019
346,2.210897173
347,2.166443575
348,2.786570754
349,2.547264851
350,2.286006918
351,2.636885549
352,2.868682312
353,2.165356576
354,2.161542839
355,2.908105246
356,3.197898227
357,2.593236458
358,2.772793806
359,2.264394133
360,2.43521947
361,2.361692169
362,2.829828894
363,2.074689706
364,2.739055477
365,2.323208967
366,2.015106193
367,2.037338603
368,2.560184195
369,2.838652501
370,2.289174989
371,2.804057147
372,3.046385556
373,2.917535528
374,2.717300477
375,2.43872406
376,2.347504818
377,2.255864212
378,2.369820717
379,2.153135126
380,3.20426691
381,2.564597666
382,2.645692591
383,2.810401957
384,2.298295998
385,2.379591899
386,2.066098549
387,2.331488584
388,1.668202947
389,3.08483299
390,3.179851834
391,2.927985944
392,3.089414868
393,2.448021447
394,2.113932779
395,2.677653017
396,2.640333774
397,2.369560633
398,2.635080656
399,2.820089463
400,2.919319716
401,2.054169952
402,2.043335561
403,4.257878901
404,4.951274638
405,3.215409752
406,2.957362126
407,2.690276165
408,2.693101273
409,2.220722001
410,1.5633036
411,2.58862626
412,2.143922483
413,1.942208525
414,2.394254768
415,2.197998165
416,2.663223666
417,2.283232987
418,3.240086149
419,2.641624617
420,2.872431781
421,2.16832218
422,2.808472022
423,2.384321178
424,1.86308406
425,3.172250665
426,2.181631896
427,2.323778288
428,2.947101843
429,2.740870643
430,2.534889835
431,2.13540885
432,2.938454401
433,2.502245301
434,2.51373749
435,2.071243276
436,2.082362679
437,2.620573488
438,2.424863019
439,3.118237947
440,2.324074971
441,2.218314338
442,2.114073288
443,2.649915322
444,1.865119601
445,2.748543063
446,2.43535111
447,2.465764184
448,2.77201683
449,3.056933023
450,3.235735653
451,2.448183786
452,2.70044188
453,3.641633047
454,3.282650883
455,3.011083658
456,2.711626318
457,2.146589456
458,2.435101212
459,2.146241225
460,3.20163187
461,2.069563617
462,2.47450268
463,2.569836392
464,2.442286014
465,2.638947342
466,2.246023813
467,1.809315451
468,2.896646291
469,2.405979656
470,2.735539314
471,2.719244509
472,3.221870843
473,2.29848146
474,3.09393821
475,2.802790249
476,2.683490899
477,2.09295427
478,2.395049844
479,2.649330248
480,2.176730769
481,2.206765938
482,2.797862204
483,2.602212762
484,2.389476852
485,3.152195274
486,2.417337416
487,2.387778453
488,2.741821622
489,2.541892316
490,2.959641053
491,1.561928495
492,2.535337851
493,2.863834006
494,2.625710473
495,3.098609292
496,2.281863974
497,2.100493657
498,2.301270167
499,2.039026971
500,2.89791962
501,2.782977095
502,2.448239831
503,2.392108195
504,3.194730946
505,2.761139689
506,2.216607657
507,2.641229056
508,2.916157937
509,2.485659599
510,2.134586046
511,2.479729185
512,2.65439547
513,2.654659528
514,2.320458197
515,2.866764192
516,2.615603643
517,2.568977372
518,3.200872122
519,2.399188946
520,2.599337079
521,2.172296323
522,2.07166175
523,3.119868979
524,2.839066134
525,3.400909173
526,2.799027271
527,2.495058478
528,2.537877369
529,2.514202727
530,2.926501931
531,1.439043891
532,2.330932001
